word,machine_translation,human_translation,machine_translation_updated
soothing,kwantar da hankali,NA,kwantar da hankali
sophisticated,na zamani,mai inganci,mai inganci
spark,walƙiya,NA,walƙiya
sparkle,walƙiya,NA,walƙiya
sparkles,walƙiya,NA,walƙiya
sparkling,kyalkyali,NA,kyalkyali
spirit,ruhu,NA,ruhu
spirited,ruhi,NA,ruhi
splendid,m,mai kyan gaske,mai kyan gaske
sprightly,a fili,NA,a fili
stable,barga,daidaito,daidaito
stamina,ƙarfin hali,karfin jiki,karfin jiki
steadfast,masu haƙuri,NA,masu haƙuri
stimulate,kara kuzari,NA,kara kuzari
stimulated,kara kuzari,NA,kara kuzari
stimulates,kara kuzari,yana Kara kuzari,yana Kara kuzari
stimulating,kara kuzari,NA,kara kuzari
stout,mai ƙarfi,NA,mai ƙarfi
straight,madaidaiciya,NA,madaidaiciya
strength,ƙarfi,NA,ƙarfi
strengthen,ƙarfafa,NA,ƙarfafa
strengthened,ƙarfafa,NA,ƙarfafa
strengthening,karfafawa,NA,karfafawa
strengthens,ƙarfafa,yana karfafa,yana karfafa
strong,karfi,NA,karfi
stronger,karfi,NA,karfi
strongest,karfi,NA,karfi
stunning,mai ban mamaki,NA,mai ban mamaki
suave,suave,karfin guiwa,karfin guiwa
substantial,gwaji,sosai,sosai
substantially,sosai,NA,sosai
success,nasara,NA,nasara
successful,nasara,NA,nasara
sunshine,hasken rana,NA,hasken rana
super,super,gagarumi,gagarumi
superb,kwarai,na kwarai,na kwarai
superior,m,mai girma,mai girma
support,tallafi,NA,tallafi
supported,tallafi,NA,tallafi
supporter,mai tallafi,NA,mai tallafi
supporters,masu goyon baya,NA,masu goyon baya
supporting,tallafawa,NA,tallafawa
supportive,tallafi,NA,tallafi
supports,goyon bayan,masu goyon baya,masu goyon baya
survived,tsira,NA,tsira
surviving,tsira,NA,tsira
survivor,mai tsira,mai tseratarwa,mai tseratarwa
sweet,mai dadi,NA,mai dadi
swift,sauri,NA,sauri
swiftly,da sauri,NA,da sauri
sympathetic,mai tausayi,NA,mai tausayi
sympathy,juyayi,NA,juyayi
tender,m,mai farin jini,mai farin jini
terrific,m,mai daga hankali,mai daga hankali
thank,na gode,godewa,godewa
thankful,godiya,mai godiya,mai godiya
thanks,godiya,NA,godiya
thoughtful,mai tunani,NA,mai tunani
thrilled,farin ciki,NA,farin ciki
tolerant,mai haƙuri,NA,mai haƙuri
top,saman,NA,saman
tops,fi,yana saman,yana saman
tranquil,kwanciyar hankali,NA,kwanciyar hankali
treasure,taska,NA,taska
treasures,taskoki,yana taskancewa,yana taskancewa
triumph,nasara,NA,nasara
triumphant,cin nasara,NA,cin nasara
TRUE,gaskiya,NA,gaskiya
trust,amince,NA,amince
trusted,amintacce,NA,amintacce
unbiased,rashin nuna son kai,NA,rashin nuna son kai
unequaled,kwatankwacinsa,rashin daidaito,rashin daidaito
unified,hadaka,NA,hadaka
united,gama kai,NA,gama kai
unmatched,wanda bai dace ba,NA,wanda bai dace ba
unstoppable,wanda ba a iya hana shi,NA,wanda ba a iya hana shi
untarnished,wanda bai lalace ba,mara lalatuwa,mara lalatuwa
useful,amfani,NA,amfani
usefulness,amfani,NA,amfani
validate,inganta,NA,inganta
validated,inganta,NA,inganta
validates,inganta,yana inganta,yana inganta
validating,ingantawa,NA,ingantawa
vested,takamaiman,NA,takamaiman
vibrant,Tsayayyar,NA,Tsayayyar
vigilant,yi hattara,NA,yi hattara
vindicate,amintattu,NA,amintattu
vindicated,barata,aminta,aminta
vindicates,nuna,yana barranta,yana barranta
vindicating,nuna,barranta,barranta
virtuous,na kirki,NA,na kirki
vision,hangen nesa,NA,hangen nesa
visionary,mai hangen nesa,NA,mai hangen nesa
visioning,hangen nesa,NA,hangen nesa
visions,wahayi,yana hangen,yana hangen
vitality,mahimmanci,NA,mahimmanci
vitamin,bitamin,NA,bitamin
vivacious,mai motsi,NA,mai motsi
want,so,NA,so
warm,dumi,NA,dumi
warmth,dumi,NA,dumi
wealth,dukiya,NA,dukiya
wealthy,masu arziki,NA,masu arziki
welcome,barka da zuwa,NA,barka da zuwa
welcomed,barka da zuwa,NA,barka da zuwa
welcomes,barka da zuwa,yana maraba,yana maraba
whimsical,son rai,ko-in-kula,ko-in-kula
willingness,shirye,NA,shirye
win,lashe,NA,lashe
winner,nasara,mai nasara,mai nasara
winning,cin nasara,NA,cin nasara
wins,lashe,ya yi nasara,ya yi nasara
winwin,winwin,nasara,nasara
wish,fata,NA,fata
wishes,buri,yana fata,yana fata
wishing,fata,NA,fata
won,lashe,NA,lashe
wonderful,ban mamaki,NA,ban mamaki
worshiped,bauta,NA,bauta
worth,daraja,NA,daraja
worthy,cancanta,NA,cancanta
yearning,marmarin,jajircewa,jajircewa
yeees,santa,NA,santa
yes,eh,NA,eh
youthful,saurayi,samarta,samarta
zealous,himma,NA,himma
abound,yawaita,NA,yawaita
abounds,yawaita,yana yawaita,yana yawaita
abundance,yawa,NA,yawa
abundant,mai yawa,NA,mai yawa
accessable,m,iya samu,iya samu
accessible,m,mai samuawa,mai samuawa
acclaim,yabo,NA,yabo
acclaimed,yabo,NA,yabo
acclamation,sanarwa,NA,sanarwa
accolade,yabo,NA,yabo
accolades,yabo,NA,yabo
accommodative,kwantar da hankali,kara,kara
accomodative,masauki,NA,masauki
accomplishment,yi,yi,yi
accomplishments,nasarorin,NA,nasarorin
accurate,daidai,NA,daidai
accurately,daidai,NA,daidai
achievement,nasara,NA,nasara
achievements,nasarori,NA,nasarori
achievible,cimma nasara,NA,cimma nasara
acumen,acumen,yanke hukuncin da ya dace,yanke hukuncin da ya dace
adaptable,wanda aka daidaita,NA,wanda aka daidaita
adaptive,Na'urar daidaitawa,abin daidaitawa,abin daidaitawa
adjustable,daidaitacce,NA,daidaitacce
admirable,abin yabawa,NA,abin yabawa
admirably,abin sha'awa,NA,abin sha'awa
admiration,sha'awa,NA,sha'awa
admirer,mai son,mai sha'awa,mai sha'awa
admiringly,admiringly,a sha'awance,a sha'awance
adorer,kauna,NA,kauna
adoring,yin sujada,NA,yin sujada
adoringly,yin sujada,NA,yin sujada
adroit,adroit,ta dama,ta dama
adroitly,adroitly,a damance,a damance
adulate,ulateauna,jinjina,jinjina
adulation,adauna,jinjinawa,jinjinawa
adulatory,yin adula,yin jinjina,yin jinjina
advantageous,amfani,NA,amfani
advantageously,amfani,mai amfani,mai amfani
adventuresome,kasada,NA,kasada
advocate,gabatarwa,NA,gabatarwa
advocated,bada shawarwari,NA,bada shawarwari
advocates,masu ba da shawara,NA,masu ba da shawara
affability,amintacce,NA,amintacce
affable,mai yiwuwa,NA,mai yiwuwa
affably,amintacce,NA,amintacce
affectation,shafi,NA,shafi
affinity,dangantaka,NA,dangantaka
affirm,tabbatar,NA,tabbatar
affirmation,tabbatarwa,NA,tabbatarwa
affirmative,m,matabbaci,matabbaci
affluence,wadata,NA,wadata
affluent,wadata,NA,wadata
afford,iya,NA,iya
affordable,araha,mai yiyuwa,mai yiyuwa
affordably,iya iyawa,NA,iya iyawa
afordable,abin iyawa,NA,abin iyawa
agile,agile,zafin nama,zafin nama
agilely,agilely,cikin zafin nama,cikin zafin nama
agility,tashin hankali,zafin nama,zafin nama
agreeableness,yarda,NA,yarda
agreeably,yarda,NA,yarda
all-around,kewaye-kewaye,NA,kewaye-kewaye
alluring,alluring,kakkarfan mai jan hankali,kakkarfan mai jan hankali
alluringly,alluringly,cikin jan hankali,cikin jan hankali
altruistic,mai girman kai,NA,mai girman kai
altruistically,yawanci,NA,yawanci
amazement,mamaki,NA,mamaki
amazingly,abin mamaki,NA,abin mamaki
ambitiously,burin,NA,burin
ameliorate,ameliorate,gyarawa,gyarawa
amenable,amintacce,NA,amintacce
amenity,abubuwan amfani,NA,abubuwan amfani
amiability,amiability,iya mu'amala,iya mu'amala
amiabily,aminabily,mai kyan mu'amala,mai kyan mu'amala
amiable,amin,kyan mu'amala,kyan mu'amala
amicability,amicability,abota,abota
amicable,sasantawa,NA,sasantawa
amicably,cikin nutsuwa,NA,cikin nutsuwa
amity,amity,fahimtar juna,fahimtar juna
ample,wadatacce,NA,wadatacce
amply,amply,a wadace,a wadace
amusing,m,mai ban dariya,mai ban dariya
amusingly,ban dariya,NA,ban dariya
angel,mala'ika,NA,mala'ika
angelic,mala'iku,na Mala'iku,na Mala'iku
appeal,daukaka kara,NA,daukaka kara
appealing,roko,NA,roko
appreciable,abin godiya,NA,abin godiya
appreciative,godiya,NA,godiya
appreciatively,godiya,NA,godiya
appropriate,dace,NA,dace
approve,yarda,NA,yarda
ardently,tsawaitawa,NA,tsawaitawa
ardor,son kai,NA,son kai
articulate,bayyana,NA,bayyana
aspiration,buri,NA,buri
aspirations,buri,NA,buri
aspire,burin,NA,burin
assurance,tabbaci,NA,tabbaci
assurances,tabbaci,NA,tabbaci
assure,tabbatar,NA,tabbatar
assuredly,tabbas,NA,tabbas
assuring,tabbatar,NA,tabbatar
astonish,mamaki,NA,mamaki
astonishing,abin mamaki,NA,abin mamaki
astonishingly,mamaki,NA,mamaki
astonishment,mamaki,NA,mamaki
astutely,a hankali,NA,a hankali
attentive,m,mai niyya,mai niyya
attractive,m,mai Jan hankali,mai Jan hankali
attractively,na jan hankali,NA,na jan hankali
attune,attune,yarda,yarda
audible,ji,NA,ji
audibly,ji,NA,ji
auspicious,mai nasara,NA,mai nasara
authentic,na kwarai,NA,na kwarai
authoritative,iko,NA,iko
autonomous,m,mai 'yanci,mai 'yanci
available,akwai,samamme,samamme
aver,aver,bayyanawa,bayyanawa
avidly,avidly,matukar so,matukar so
awe,tsoro,NA,tsoro
awed,yi mamaki,NA,yi mamaki
awesomely,ban mamaki,NA,ban mamaki
awesomeness,al'ajabin,NA,al'ajabin
awestruck,mamaki,NA,mamaki
awsome,awsome,mai ban mamaki,mai ban mamaki
backbone,kashin baya,NA,kashin baya
balanced,daidaita,NA,daidaita
beauteous,kyakkyawa,NA,kyakkyawa
beautifullly,kawata,NA,kawata
beauty,kyau,NA,kyau
beckon,beckon,jinjina,jinjina
beckoned,duba,jinjina,jinjina
beckoning,waswasi,yin jinjina,yin jinjina
beckons,beckons,ya yi jinjina,ya yi jinjina
believable,abin yarda,NA,abin yarda
believeable,mai imani,NA,mai imani
benefactor,mai taimako,NA,mai taimako
beneficent,mai amfani,NA,mai amfani
beneficial,amfani,NA,amfani
beneficially,mai amfani,NA,mai amfani
beneficiary,mai cin gajiyarta,NA,mai cin gajiyarta
benevolence,kyautatawa,NA,kyautatawa
benevolent,mai kyautatawa,NA,mai kyautatawa
benifits,benifits,yana cin gajiya,yana cin gajiya
best-known,sananne,NA,sananne
best-performing,mafi kyawun aiki,NA,mafi kyawun aiki
best-selling,sayarwa mafi kyau,mafi sayuwa,mafi sayuwa
better-known,mafi sani,shahararre,shahararre
better-than-expected,mafi kyau-fiye da tsammani,NA,mafi kyau-fiye da tsammani
beutifully,beutifully,a kayace,a kayace
blameless,mara laifi,NA,mara laifi
blissfully,cikin ni'ima,NA,cikin ni'ima
bloom,fure,NA,fure
blossom,fure,NA,fure
bolster,ƙarfafa,NA,ƙarfafa
bonny,bonny,kyakykyawa,kyakykyawa
bonus,kari,NA,kari
bonuses,kari,NA,kari
boom,albarku,yalwa,yalwa
booming,booming,yalwata,yalwata
boundless,m,mara iyaka,mara iyaka
bountiful,falala,NA,falala
brainiest,mafi jaruntaka,mafi hankali,mafi hankali
brainy,mai hankali,NA,mai hankali
brand-new,sabo-sabo,sabo fil,sabo fil
bravery,jaruntaka,NA,jaruntaka
bravo,bravo,jarumta,jarumta
breakthroughs,nasarori,ci gaba,ci gaba
breathlessness,rashin numfashi,NA,rashin numfashi
breathtakingly,mai daukar hankali,NA,mai daukar hankali
breeze,iska,NA,iska
brighten,haskaka,NA,haskaka
brighter,haske,NA,haske
brilliance,haske,NA,haske
brilliances,brilliances,masu haskakawa,masu haskakawa
brilliantly,brilliantly,a haskake,a haskake
brotherly,dan uwa,NA,dan uwa
bullish,bullish,yarda da kai,yarda da kai
cajole,cajole,barkwanci,barkwanci
calmness,NA,kwantar da hankali,kwantar da hankali
capability,iyawa,NA,iyawa
capably,iyawa,NA,iyawa
captivate,kamewa,NA,kamewa
captivating,jan hankali,NA,jan hankali
cashback,cashback,mayar da kudi,mayar da kudi
cashbacks,kudade,yana mayarda kudi,yana mayarda kudi
catchy,mai kamawa,NA,mai kamawa
celebration,bikin,NA,bikin
celebratory,bikin,abin biki,abin biki
champ,zakara,NA,zakara
champion,zakara,NA,zakara
charisma,kwarjini,NA,kwarjini
charismatic,mai kwarjini,NA,mai kwarjini
charitable,sadaka,NA,sadaka
charmingly,da fara'a,NA,da fara'a
chaste,tsattsarka,NA,tsattsarka
cheaper,mai rahusa,NA,mai rahusa
cheapest,mafi arha,NA,mafi arha
cherub,kerub,kyakykyawan yaro,kyakykyawan yaro
chivalrous,chivalrous,mai son burge mata,mai son burge mata
chivalry,chivalry,yin bajinta ga mata,yin bajinta ga mata
civility,wayewa,NA,wayewa
civilize,wayewa,NA,wayewa
classic,na gargajiya,NA,na gargajiya
cleanest,mafi tsabta,NA,mafi tsabta
cleanliness,tsafta,NA,tsafta
cleanly,a tsabtace,NA,a tsabtace
clear-cut,bayyananniya,bayyananne,bayyananne
clearer,bayarda,bayyananne,bayyananne
cleverly,da wayo,NA,da wayo
cohere,cohere,daidaita,daidaita
coherence,daidaituwa,NA,daidaituwa
coherent,m,daidai,daidai
cohesive,haɗin kai,a daidai,a daidai
colorful,m,mai launi,mai launi
comely,kyakkyawa,NA,kyakkyawa
comfortably,cikin kwanciyar hankali,NA,cikin kwanciyar hankali
comfy,comfy,mai dadi,mai dadi
commendable,abin yabo,NA,abin yabo
commendably,abin yabawa,NA,abin yabawa
commodious,kayayyaki,NA,kayayyaki
compact,karami,NA,karami
compactly,karami,NA,karami
compassion,tausayi,NA,tausayi
compatible,jituwa,NA,jituwa
complement,kari,NA,kari
complementary,karin,NA,karin
complemented,cika,NA,cika
complements,cikawa,NA,cikawa
compliant,mai yarda,NA,mai yarda
compliment,yabo,NA,yabo
complimentary,kyauta,NA,kyauta
conciliatory,sulhu,NA,sulhu
concise,dunkule,NA,dunkule
congenial,na haihuwa,NA,na haihuwa
congratulatory,barka da warhaka,taya murna,taya murna
conscientious,mai hankali,NA,mai hankali
considerate,m,abin duba,abin duba
consistent,daidaito,NA,daidaito
consistently,akai-akai,NA,akai-akai
constructive,mai amfani,NA,mai amfani
consummate,cika,NA,cika
contentment,wadatar zuci,NA,wadatar zuci
continuity,ci gaba,NA,ci gaba
contrasty,saba,NA,saba
contribution,taimako,karo-karo,karo-karo
convenience,saukakawa,NA,saukakawa
convenient,dace,NA,dace
conveniently,dace,NA,dace
convience,yarda,NA,yarda
convienient,mai dacewa,NA,mai dacewa
convient,yarda,mai dadi,mai dadi
convincing,gamsarwa,NA,gamsarwa
convincingly,gamsarwa,NA,gamsarwa
coolest,mafi kyau,NA,mafi kyau
cooperative,aiki tare,NA,aiki tare
cooperatively,aiki tare,NA,aiki tare
cornerstone,dutsen gini,muhimmin al'amari,muhimmin al'amari
correct,daidai,NA,daidai
correctly,daidai,NA,daidai
cost-effective,mai tsada,NA,mai tsada
cost-saving,tsadar kuɗi,mai saukin kudi,mai saukin kudi
counter-attack,kai hari,NA,kai hari
counter-attacks,kai hare-hare,NA,kai hare-hare
courageously,gaba gaɗi,NA,gaba gaɗi
courageousness,ƙarfin zuciya,NA,ƙarfin zuciya
courtly,ladabi,NA,ladabi
covenant,alkawari,NA,alkawari
cozy,jin dadi,NA,jin dadi
credence,amintacce,NA,amintacce
credible,abin yarda,NA,abin yarda
crisp,kintsattse,NA,kintsattse
crisper,m,mai ladabtarwa,mai ladabtarwa
cure,magani,NA,magani
cure-all,warkewa-duka,NA,warkewa-duka
cushy,cushy,mai sauki,mai sauki
cuteness,yankewa,yin kyau,yin kyau
daringly,cikin tsoro,NA,cikin tsoro
darling,masoyi,NA,masoyi
dashing,faduwa,bayarwa,bayarwa
dawn,wayewar gari,asuba,asuba
dazzle,rudani,NA,rudani
dazzled,mamaki,NA,mamaki
dazzling,dazzling,mai ban mamaki,mai ban mamaki
dead-cheap,mutu-arha,kwasha-kwasha,kwasha-kwasha
dead-on,mutu-kan,daiadai-wa-daida,daiadai-wa-daida
decency,ladabi,NA,ladabi
decent,mai kyau,NA,mai kyau
decisiveness,yanke hukunci,NA,yanke hukunci
defeat,shan kashi,NA,shan kashi
defeated,ci,NA,ci
defeating,cin nasara,NA,cin nasara
defeats,shan kashi,ya sha kashi,ya sha kashi
deference,girmamawa,NA,girmamawa
deft,deft,iyawa,iyawa
deginified,rabewa,NA,rabewa
delectable,delectable,mai dadin dandano,mai dadin dandano
delicacy,abinci,NA,abinci
delicate,m,mai dadi,mai dadi
delicious,dadi,NA,dadi
delightful,dadi,mai farin ciki,mai farin ciki
delightfully,da farin ciki,NA,da farin ciki
delightfulness,ni'ima,farin ciki,farin ciki
dependable,abin dogaro,NA,abin dogaro
dependably,abin dogaro,NA,abin dogaro
deservedly,cancanci,NA,cancanci
deserving,cancanta,NA,cancanta
desiring,marmarin,NA,marmarin
destiny,makoma,NA,makoma
detachable,m,mara rabuwa,mara rabuwa
devout,ibada,NA,ibada
dexterous,mai rikitarwa,NA,mai rikitarwa
dexterously,deraminci,NA,deraminci
dextrous,dextrous,iya abu da hannu,iya abu da hannu
dignified,mai martaba,NA,mai martaba
dignify,girmama,NA,girmama
dignity,mutunci,NA,mutunci
diligence,himma,NA,himma
diligent,mai ƙwazo,NA,mai ƙwazo
diligently,himma,NA,himma
diplomatic,diflomasiyya,NA,diflomasiyya
dirt-cheap,datti-mai rahusa,arha rababa,arha rababa
distinction,bambanci,NA,bambanci
distinctive,rarrabe,NA,rarrabe
distinguished,bambanta,NA,bambanta
diversified,daban-daban,mabambanta,mabambanta
divine,allahntaka,kudura,kudura
divinely,allahntaka,kudura,kudura
dominate,mamaye,NA,mamaye
dominated,mamaye,NA,mamaye
dominates,mamaye,ya mamaye,ya mamaye
dote,dote,mutum na gari,mutum na gari
dotingly,dimately,cikin kauna,cikin kauna
doubtless,babu shakka,NA,babu shakka
dreamland,ƙasar mafarki,abin buri,abin buri
dumbfounded,ya dimauce,NA,ya dimauce
dumbfounding,rubewa,rudewa,rudewa
dummy-proof,cikakken-hujja,NA,cikakken-hujja
durable,m,jurarre,jurarre
dynamic,tsauri,NA,tsauri
eagerly,cikin ɗoki,NA,cikin ɗoki
eagerness,himma,NA,himma
earnestly,da ƙwazo,NA,da ƙwazo
earnestness,himma,NA,himma
eased,saukake,NA,saukake
eases,saukake,ya saukaka,ya saukaka
easier,mai sauki,mafi sauki,mafi sauki
easiest,mafi sauki,mafi sauki ainun,mafi sauki ainun
easiness,sauƙaƙewa,NA,sauƙaƙewa
easing,sassautawa,NA,sassautawa
easy-to-use,mai sauƙin amfani,NA,mai sauƙin amfani
easygoing,mai saukin kai,NA,mai saukin kai
ebullience,cikawar,NA,cikawar
ebullient,ma'ana,NA,ma'ana
ebulliently,akullum,NA,akullum
ecenomical,ecenomical,tattali,tattali
economical,tattali,NA,tattali
ecstasies,farin ciki,ya na farin ciki,ya na farin ciki
ecstasy,farin ciki,NA,farin ciki
ecstatically,cike da annashuwa,NA,cike da annashuwa
edify,ingantawa,NA,ingantawa
educated,mai ilimi,NA,mai ilimi
effectiveness,tasiri,NA,tasiri
effectual,tasiri,NA,tasiri
efficacious,mai amfani,NA,mai amfani
efficient,ingantaccen,NA,ingantaccen
efficiently,nagarta sosai,NA,nagarta sosai
effortless,effortless,a saukake,a saukake
effortlessly,effortlessly,cikin sauki,cikin sauki
effusion,zubar ruwa,NA,zubar ruwa
effusive,mai kuzari,NA,mai kuzari
effusively,cikakke,NA,cikakke
effusiveness,kuzari,NA,kuzari
elan,elan,zumudi,zumudi
elate,bayyana,NA,bayyana
elatedly,cikin farin ciki,NA,cikin farin ciki
electrify,lantarki,NA,lantarki
elegance,ladabi,NA,ladabi
elevate,daukaka,NA,daukaka
elite,fitattu,NA,fitattu
eloquence,balaga,iya magana,iya magana
eloquent,kaifin magana,NA,kaifin magana
eloquently,iya magana,NA,iya magana
embolden,karfafawa,NA,karfafawa
eminence,fitarwa,NA,fitarwa
eminent,mashahuri,NA,mashahuri
empathize,tausaya wa,NA,tausaya wa
empathy,tausayawa,NA,tausayawa
empower,karfafawa,NA,karfafawa
empowerment,karfafawa,tallafawa,tallafawa
enchant,sihiri,NA,sihiri
enchanting,sihiri,sihirce,sihirce
enchantingly,cikin sihiri,NA,cikin sihiri
encouraging,ƙarfafawa,NA,ƙarfafawa
encouragingly,karfafa gwiwa,NA,karfafa gwiwa
endear,kauna,NA,kauna
endearing,masoya,NA,masoya
endorsing,yarda,NA,yarda
energize,kuzari,NA,kuzari
energy-efficient,makamashi-ingantaccen,inganta makamashi,inganta makamashi
energy-saving,tanadin kuzari,NA,tanadin kuzari
engaging,shiga,NA,shiga
engrossing,cikawa,NA,cikawa
enhance,inganta,NA,inganta
enhanced,inganta,NA,inganta
enhancement,kayan haɓakawa,habakawa,habakawa
enhances,kara habaka,yana habakawa,yana habakawa
enjoyable,m,abin morewa,abin morewa
enjoyably,more,NA,more
enjoyed,naji dadin,NA,naji dadin
enjoyment,morewa,NA,morewa
enlightenment,fadakarwa,NA,fadakarwa
enliven,rayayyu,NA,rayayyu
ennoble,rashin iyawa,NA,rashin iyawa
enough,isa,NA,isa
enrapt,zana,NA,zana
enraptured,enraptured,farantawa,farantawa
enrich,wadãtar,NA,wadãtar
enrichment,wadatarwa,NA,wadatarwa
entertain,nishadantar,NA,nishadantar
entertains,nishadantarwa,yana nishadantarwa,yana nishadantarwa
enthrall,mai ban sha'awa,NA,mai ban sha'awa
enthralled,mai ban sha'awa,NA,mai ban sha'awa
enthuse,sha'awa,NA,sha'awa
enthusiasm,babbar sha'awa,NA,babbar sha'awa
enthusiast,mai himma,NA,mai himma
enthusiastically,da farin ciki,himmatuwa,himmatuwa
entice,yaudare,NA,yaudare
enticed,yaudara,NA,yaudara
enticing,jawo hankali,NA,jawo hankali
enticingly,cikin hankali,a yaudare,a yaudare
entranced,entranced,burge,burge
entrancing,entrancing,burgewa,burgewa
entrust,amana,NA,amana
enviable,kishi,NA,kishi
enviably,hasada,NA,hasada
envious,hassada,yana hassada,yana hassada
enviously,hassada,NA,hassada
enviousness,hassada,NA,hassada
envy,hassada,NA,hassada
equitable,daidaito,NA,daidaito
err-free,Kuskure,mara kuskure,mara kuskure
erudite,jahilci,NA,jahilci
eulogize,rairayi,NA,rairayi
evaluative,kimantawa,NA,kimantawa
evenly,daidai,NA,daidai
eventful,m,daban daban,daban daban
everlasting,har abada,NA,har abada
evocative,m,sosa zuciya,sosa zuciya
exalt,daukaka,NA,daukaka
exaltation,daukaka,NA,daukaka
exalted,daukaka,NA,daukaka
exaltedly,ɗaukaka,NA,ɗaukaka
exalting,daukaka,NA,daukaka
exaltingly,samawan,cike da daukaka,cike da daukaka
examplar,mai dubawa,NA,mai dubawa
examplary,abin koyi,NA,abin koyi
excallent,na kwarai,NA,na kwarai
exceed,wuce,NA,wuce
exceeded,wucewa,NA,wucewa
exceeding,wucewa,NA,wucewa
exceedingly,da yawa,NA,da yawa
exceeds,ya wuce,ya wuce,ya wuce
excel,fice,NA,fice
exceled,ware,NA,ware
excelent,banda,NA,banda
excellant,ficewa,kyan gaske,kyan gaske
excelled,tayi fice,NA,tayi fice
excellency,daukaka,madaukaki,madaukaki
excellently,kwarai da gaske,NA,kwarai da gaske
excels,ya fi kyau,ya yi fice,ya yi fice
exceptional,na kwarai,na musamman,na musamman
exceptionally,banda haka,NA,banda haka
excitedly,cikin farin ciki,NA,cikin farin ciki
excitedness,farin ciki,NA,farin ciki
excites,zumudi,NA,zumudi
excitingly,cikin farin ciki,NA,cikin farin ciki
exellent,madalla,NA,madalla
exemplar,misali,NA,misali
exemplary,abin misali,NA,abin misali
exhilarate,exhilarate,murna,murna
exhilaratingly,exhilaratingly,cike da murna,cike da murna
exhilaration,farin ciki,NA,farin ciki
expansive,fadada,NA,fadada
expeditiously,hanzarta,NA,hanzarta
expertly,gwaninta,NA,gwaninta
exquisite,dadi,NA,dadi
exquisitely,mafi kyau,NA,mafi kyau
extol,daukaka,yabawa,yabawa
extoll,daukaka,girmamawa,girmamawa
extraordinarily,ƙari,na daban,na daban
extraordinary,na ban mamaki,NA,na ban mamaki
exuberance,farin ciki,NA,farin ciki
exuberantly,cike da murna,NA,cike da murna
exult,yi murna,NA,yi murna
exultation,murna,NA,murna
exultingly,da murna,NA,da murna
eye-catch,ido-kama,mai daukar ido,mai daukar ido
eye-catching,daukar ido,daukar ido,daukar ido
eyecatch,sa idanun ido,daukar hankali,daukar hankali
eyecatching,sa idanun ido,daukar hankali,daukar hankali
fabulously,shahararre,NA,shahararre
facilitate,sauƙaƙe,NA,sauƙaƙe
fairly,adalci,NA,adalci
fairness,adalci,NA,adalci
faithful,aminci,NA,aminci
faithfulness,aminci,NA,aminci
famed,sananne,NA,sananne
famous,shahara,NA,shahara
famously,shahararre,NA,shahararre
fancier,fancier,mai so,mai so
fancinating,fancinating,matukar son,matukar son
fancy,zato,NA,zato
fanfare,fansa,NA,fansa
fans,magoya baya,NA,magoya baya
fantastically,abin mamaki,NA,abin mamaki
fascinatingly,mai ban sha'awa,NA,mai ban sha'awa
fascination,sha'awa,NA,sha'awa
fashionable,gaye,NA,gaye
fashionably,gaye,NA,gaye
fast,azumi,NA,azumi
fast-growing,sauri-girma,saurin girma,saurin girma
fast-paced,da sauri-sauri,NA,da sauri-sauri
faster,sauri,mai sauri,mai sauri
fastest,fi sauri,matukar sauri,matukar sauri
fastest-growing,mafi sauri-girma,saurin girma,saurin girma
faultless,mara aibi,NA,mara aibi
fav,fav,zababben,zababben
fave,fave,zababbe,zababbe
favorable,m,mai alfarma,mai alfarma
favour,ni'ima,alfarma,alfarma
fearlessly,rashin tsoro,NA,rashin tsoro
feasible,m,mai saukin yi,mai saukin yi
feasibly,mai yiwuwa,NA,mai yiwuwa
feat,feat,yi da kyar,yi da kyar
feature-rich,fasali-mai arziki,mai abubuwa daban-daban,mai abubuwa daban-daban
fecilitous,mai ladabi,NA,mai ladabi
feisty,rawanin,mai kunga-kunga,mai kunga-kunga
felicitate,yi nasara,NA,yi nasara
felicitous,maras kyau,wanda ya dace,wanda ya dace
felicity,cin nasara,NA,cin nasara
fertile,m,mai fitarwa,mai fitarwa
fervently,da ƙwazo,NA,da ƙwazo
fervidly,a hankali,NA,a hankali
fervor,himma,NA,himma
fidelity,aminci,NA,aminci
fiery,na wuta,mai saurin fushi,mai saurin fushi
fine-looking,kyau-kyan gani,mai kyan gani,mai kyan gani
finely,finely,kyau,kyau
finer,finer,mafi kyau,mafi kyau
finest,mafi kyau,matukar kyau,matukar kyau
firmer,firmer,dankararre,dankararre
first-class,aji na farko,NA,aji na farko
first-in-class,farko-a-aji,NA,farko-a-aji
first-rate,na farko-kudi,mafi daraja,mafi daraja
flashy,mai walƙiya,NA,mai walƙiya
flatter,flatter,fadanci,fadanci
flattering,fadanci,NA,fadanci
flatteringly,daita,fadanci,fadanci
flawless,mara aibi,NA,mara aibi
flawlessly,flawlessly,salin-alin,salin-alin
flexibility,sassauci,mai sarrafuwa,mai sarrafuwa
flexible,m,mai sarrafuwa,mai sarrafuwa
flourish,yabanya,NA,yabanya
flourishing,mai bunƙasa,NA,mai bunƙasa
fluent,m,mai iya zance,mai iya zance
flutter,gurnani,NA,gurnani
fondly,so,NA,so
foolproof,wawa,NA,wawa
foremost,farkon,NA,farkon
foresight,hangen nesa,NA,hangen nesa
formidable,karaya,mai kwarjini,mai kwarjini
fortitude,karfin gwiwa,NA,karfin gwiwa
